Date,oof_prediction,pred_z,abs_pred_z,y_next_log_return,target_up,target_correct,Macro_Fast,Market_State
2015-09-26,-9.722087380753526e-05,0.9583691903282708,0.9583691903282708,0.0,0,0,0.6659691499785516,sideways_risk_off
2015-09-27,-9.722087380753526e-05,0.9601170119588016,0.9601170119588016,-0.0122916385115566,0,1,0.6598881973074004,sideways_risk_off
2015-09-28,-2.38362376909452e-05,1.2961228513668095,1.2961228513668095,-0.0043380388086808,0,1,0.5760383340390244,sideways_risk_off
2015-09-29,-7.073436399820022e-05,1.083404015000457,1.083404015000457,-0.01034520608186,0,1,0.0508168132395337,sideways_risk_off
2015-09-30,-2.38362376909452e-05,1.2881363113508102,1.2881363113508102,-0.0011661202636149,0,1,0.3203753716542175,sideways_risk_off
2015-10-01,-7.073436399820022e-05,1.0762069374681305,1.0762069374681305,0.0203445259153814,1,0,-2.487823955993759,sideways_risk_off
2015-10-02,-0.000403112098942,-0.4312215846623663,0.4312215846623663,0.0,0,0,-0.8163550324548772,sideways_risk_off
2015-10-03,-9.0240112349543e-05,0.9941863558115788,0.9941863558115788,0.0,0,0,-0.0480202284213558,sideways_risk_off
2015-10-04,-9.0240112349543e-05,0.9976466249284012,0.9976466249284012,0.0008790436757122,1,0,-0.0502721092917805,sideways_risk_off
2015-10-05,-9.722087380753526e-05,0.9693379713423892,0.9693379713423892,0.0076153135367376,1,0,0.4089678016036751,sideways_risk_off
2015-10-06,-0.000403112098942,-0.4223843201509054,0.4223843201509054,0.0019165011119519,1,0,-0.2279735489311761,sideways_risk_off
2015-10-07,-0.0001502071364396,0.7321135034116609,0.7321135034116609,-0.0037494477303012,0,1,0.3373458995144218,sideways_risk_off
2015-10-08,-7.073436399820022e-05,1.0908955845210635,1.0908955845210635,0.0100827433930067,1,0,0.081456007065452,sideways_risk_off
2015-10-09,-0.0004100928604,-0.4695500654357229,0.4695500654357229,0.0,0,0,0.3901641502263423,sideways_risk_off
2015-10-10,-9.0240112349543e-05,0.9937594265890454,0.9937594265890454,0.0,0,0,0.1264060586735735,sideways_risk_off
