Date,Market_State,pred_z,regime_weight,pred_z_weighted,raw_signal,signal,hold_day,position,y_next_log_return,strategy_ret,equity
2024-08-30,bull_risk_off,1.330368959629727,0.0,0.0,0,0,0,1.4367145695562446e-35,0.0,-1.0775359271671833e-38,1.0067869689954128
2024-08-31,bull_risk_off,1.5191639594457345,0.0,0.0,0,0,0,5.746858278224979e-36,0.0,-4.310143708668733e-39,1.0067869689954128
2024-09-01,bull_risk_off,1.508046815215316,0.0,0.0,0,0,0,2.2987433112899916e-36,0.0,-1.7240574834674937e-39,1.0067869689954128
2024-09-02,bull_risk_off,1.4970833802105818,0.0,0.0,0,0,0,9.194973245159966e-37,-0.0015651615605027,-4.287527661680785e-39,1.0067869689954128
2024-09-03,bull_risk_off,1.486269691652886,0.0,0.0,0,0,0,3.6779892980639866e-37,0.0014046919564001,1.0157612983242339e-39,1.0067869689954128
2024-09-04,bull_risk_off,1.475426461780253,0.0,0.0,0,0,0,1.4711957192255946e-37,0.0071931259256914,2.535284338490038e-39,1.0067869689954128
2024-09-05,bull_risk_off,1.2530422344471406,0.0,0.0,0,0,0,5.884782876902379e-38,-0.0071529815466261,-1.0964794546863671e-39,1.0067869689954128
2024-09-06,bull_risk_off,1.569080507376681,0.0,0.0,0,0,0,2.3539131507609514e-38,0.0,-1.7654348630707136e-41,1.0067869689954128
2024-09-07,bull_risk_off,1.428085862451345,0.0,0.0,0,0,0,9.415652603043806e-39,0.0,-7.061739452282853e-42,1.0067869689954128
2024-09-08,bull_risk_off,1.4180829547327773,0.0,0.0,0,0,0,3.7662610412175226e-39,0.0033231463803615,2.846489608563322e-41,1.0067869689954128
2024-09-09,bull_risk_off,1.2543902675195633,0.0,0.0,0,0,0,1.5065044164870092e-39,0.0041881953463758,1.4643958653698445e-41,1.0067869689954128
2024-09-10,bull_risk_off,1.2428072524138871,0.0,0.0,0,0,0,6.026017665948037e-40,-7.95919887969663e-05,-5.71857007585717e-43,1.0067869689954128
2024-09-11,bull_risk_off,1.390188462834541,0.0,0.0,0,0,0,2.410407066379215e-40,0.0154447217650819,9.126236090225127e-42,1.0067869689954128
2024-09-12,bull_risk_off,1.2012465069394724,0.0,0.0,0,0,0,9.64162826551686e-41,0.0117293494752695,2.754938473930718e-42,1.0067869689954128
2024-09-13,bull_risk_off,1.192512107878904,0.0,0.0,0,0,0,3.8566513062067443e-41,0.0,-2.8924884796550586e-44,1.0067869689954128
2024-09-14,bull_risk_off,1.3716467841025743,0.0,0.0,0,0,0,1.5426605224826977e-41,0.0,-1.1569953918620234e-44,1.0067869689954128
2024-09-15,bull_risk_off,1.3622557500671852,0.0,0.0,0,0,0,6.170642089930791e-42,-0.0003487792849913,-1.0008461907606298e-44,1.0067869689954128
2024-09-16,bull_risk_off,1.3529759950423526,0.0,0.0,0,0,0,2.4682568359723165e-42,-0.0062588316947153,-4.0472202916182337e-44,1.0067869689954128
2024-09-17,bull_risk_off,1.4886688917686068,0.0,0.0,0,0,0,9.873027343889267e-43,0.0024926602974638,5.4120487681801166e-45,1.0067869689954128
2024-09-18,bull_risk_off,1.1899266298261575,0.0,0.0,0,0,0,3.949210937555707e-43,0.0067071603385647,6.32580692193321e-45,1.0067869689954128
2024-09-19,bull_risk_off,1.1470360223556675,0.0,0.0,0,0,0,1.579684375022283e-43,0.0122507350609972,4.719597361472062e-45,1.0067869689954128
2024-09-20,bull_risk_off,1.148819964177091,0.0,0.0,0,0,0,6.318737500089132e-44,0.0,-4.739053125066849e-47,1.0067869689954128
